area,dificuldade,enunciado,fonte,correta,incorretas,explicacao
FINANCEIRO,1,"Dados bancários de clientes exigem, quanto à segurança:",Art. 46; Guia Segurança (ANPD),"Controle de acesso, senhas fortes e autenticação multifator",Nenhum cuidado especial | Publicação periódica | Compartilhamento livre,"Medidas aptas a proteger de acessos não autorizados: controle de acesso proporcional à necessidade, senhas complexas e, preferencialmente, autenticação multifator (Guia de Segurança da ANPD)."
FINANCEIRO,2,"Após o fim da relação com o cliente e dos prazos legais de guarda, os dados financeiros devem ser:",Art. 16,Eliminados,Mantidos para sempre | Vendidos | Publicados,"Eliminados após o término do tratamento, salvo as hipóteses de conservação do Art. 16."
FINANCEIRO,2,"Ao consultar bureau de crédito sobre um cliente, a empresa deve garantir:","Art. 6º, VI; Art. 7º, X",Base legal adequada e transparência ao titular,Sigilo total sobre a consulta | Autorização verbal apenas | Nada; consulta é livre,"Base legal adequada (proteção do crédito, Art. 7º, X) e transparência: informações claras e acessíveis sobre o tratamento (Art. 6º, VI)."
FINANCEIRO,2,A contabilidade externa que recebe dados de clientes e empregados para escrituração é:,"Art. 5º, VII; Art. 39","Operadora, que deve seguir as instruções do controlador",Titular | Autoridade nacional | Controladora exclusiva,Operadora: trata os dados em nome do controlador e deve seguir suas instruções (Art. 39). O Guia da ANPD recomenda contrato com cláusulas de proteção de dados.
FINANCEIRO,2,Uma mensagem de cobrança que revela a dívida a um familiar do devedor viola:,"Art. 6º, VII",A segurança (comunicação não autorizada),A gratuidade | A qualidade dos dados | Nada,"A segurança: os dados devem ser protegidos de comunicação ou difusão não autorizada (Art. 6º, VII; Art. 46)."
FINANCEIRO,2,O cliente quer saber com quais entidades a empresa compartilhou seus dados. Ele tem esse direito?,"Art. 18, VII","Sim, é direito do titular (Art. 18, VII)","Não, é segredo comercial absoluto | Só com ordem judicial | Só se pagar uma taxa","Sim: informação das entidades públicas e privadas com as quais o controlador realizou uso compartilhado de dados (Art. 18, VII)."
FINANCEIRO,2,"O direito de portabilidade dos dados (Art. 18, V) é exercido:","Art. 18, V e § 7º","Mediante requisição expressa, conforme regulamentação da ANPD","Automaticamente, todo mês | Apenas por ordem judicial | Nunca","Mediante requisição expressa, de acordo com a regulamentação da autoridade nacional, observados os segredos comercial e industrial; não inclui dados já anonimizados (§ 7º)."
FINANCEIRO,2,Um cliente teve crédito negado por decisão unicamente automatizada. Ele pode:,Art. 20,Solicitar a revisão da decisão,Exigir aprovação automática | Nada; a decisão é definitiva | Processar o operador do sistema apenas,"Solicitar a revisão da decisão, inclusive as destinadas a definir perfil de crédito (Art. 20, caput)."
FINANCEIRO,3,"Sobre os critérios da decisão automatizada de crédito, o controlador deve:","Art. 20, § 1º","Informar critérios e procedimentos, observados os segredos comercial e industrial",Manter tudo em sigilo absoluto | Entregar o código-fonte | Nada; não há dever de informar,"Fornecer, sempre que solicitadas, informações claras e adequadas sobre os critérios e procedimentos, observados os segredos comercial e industrial (Art. 20, § 1º)."
FINANCEIRO,2,"No cálculo da multa simples, o faturamento considerado é:","Art. 52, II","Do último exercício no Brasil, excluídos os tributos","Mundial, com tributos | Apenas do mês da infração | Do faturamento projetado","O da pessoa jurídica, grupo ou conglomerado no Brasil, no último exercício, excluídos os tributos — até 2%, limitado a R$ 50 milhões por infração (Art. 52, II)."
FINANCEIRO,3,A multa diária da LGPD:,"Art. 52, III",Observa o mesmo teto total da multa simples,Não tem limite | É fixa em R$ 1.000 | Só se aplica a bancos,"Observa o mesmo limite total da multa simples (R$ 50 milhões por infração) — Art. 52, III; Res. 4/2023, art. 16."
FINANCEIRO,3,"Pela dosimetria da ANPD, cessar a infração ANTES de a ANPD instaurar procedimento reduz a multa em:","Res. CD/ANPD nº 4/2023, art. 13, I, 'a'",75%,10% | 25% | 100%,"75%. Após o procedimento preparatório, 50%; após o processo sancionador, 30% (art. 13, I)."
FINANCEIRO,3,"Cada reincidência específica agrava a multa, pela Resolução CD/ANPD nº 4/2023, em:","Res. CD/ANPD nº 4/2023, art. 12, I","10% por caso, até 40%",50% por caso | 1% por caso | Não agrava,"10% por caso, até o limite de 40% (art. 12, I). Reincidência específica é repetir infração ao mesmo dispositivo em 5 anos (art. 2º)."
FINANCEIRO,3,Prazo para pagar a multa aplicada pela ANPD e efeito da renúncia ao recurso:,"Res. CD/ANPD nº 4/2023, arts. 17 e 18",20 dias úteis; renúncia ao recurso reduz 25%,30 dias corridos; sem redução | 5 dias; redução de 50% | 1 ano; sem redução,20 dias úteis da ciência da decisão (em dobro para pequeno porte); renúncia expressa ao recurso com pagamento no prazo dá redução de 25%.
FINANCEIRO,3,O produto das multas aplicadas pela ANPD é destinado ao:,"Art. 52, § 5º",Fundo de Defesa de Direitos Difusos,Tesouro do Estado | Caixa da própria ANPD | Titular prejudicado,"Fundo de Defesa de Direitos Difusos (Art. 52, § 5º)."
FINANCEIRO,2,Vazamento de dados de cartão e conta de clientes: qual o prazo de comunicação à ANPD?,"Res. CD/ANPD nº 15/2024, arts. 5º, III, e 6º",3 dias úteis,72 horas | 10 dias corridos | Não há prazo,Dados financeiros são critério de risco relevante; a comunicação à ANPD e aos titulares é em 3 dias úteis do conhecimento de que afetou dados pessoais.
FINANCEIRO,2,"Sobre cópias de segurança (backups) com dados pessoais, o Guia de Segurança da ANPD recomenda:","Guia Segurança da Informação para pequeno porte (ANPD, 2021)","Regulares, em local distinto e sem sincronização em tempo real",Só no mesmo servidor | Apenas em pendrive | Dispensáveis,"Backups regulares, completos, armazenados em locais seguros e distintos dos dispositivos principais, e que não sejam sincronizados online em tempo real (proteção contra ransomware)."
FINANCEIRO,2,"Pendrives e HDs externos com dados pessoais, segundo o Guia de Segurança da ANPD:","Guia Segurança (ANPD, 2021)","Evitar; se usar, inventariar, cifrar e guardar em local seguro",Usar livremente | Só com etiqueta | Compartilhar entre equipes,"Devem ser evitados; se imprescindíveis, inventariados, com dados cifrados e guardados em local seguro."
FINANCEIRO,2,O CNPJ e a razão social de um cliente pessoa jurídica são dados pessoais?,"Art. 5º, I e V","Não, mas os dados dos sócios e contatos são","Sim, todos | Sim, e são sensíveis | Depende do faturamento","Não: referem-se a pessoa jurídica. Já os dados dos sócios, representantes e contatos (pessoas naturais) são dados pessoais."
FINANCEIRO,3,"Para compartilhar com outro controlador dados obtidos com consentimento, o controlador deve:","Art. 7º, § 5º",Obter consentimento específico para o compartilhamento,Nada; o primeiro consentimento basta | Avisar a ANPD | Cobrar do parceiro,"Obter consentimento específico do titular para esse fim, ressalvadas as hipóteses de dispensa (Art. 7º, § 5º)."
FINANCEIRO,3,"A troca de bancos de dados pessoais entre duas empresas privadas é chamada, na LGPD, de:","Art. 5º, XVI",Uso compartilhado de dados,Anonimização | Bloqueio | Portabilidade,"Uso compartilhado de dados: comunicação, difusão, transferência internacional, interconexão ou tratamento compartilhado de bancos de dados, inclusive entre entes privados (Art. 5º, XVI)."
FINANCEIRO,3,"Pagar um fornecedor no exterior enviando dados pessoais para lá exige, pela Resolução CD/ANPD nº 19/2024:","Res. CD/ANPD nº 19/2024, art. 9º; Art. 33",Base legal E um mecanismo do Art. 33,"Apenas o câmbio aprovado | Nada, pagamento não é tratamento | Autorização do Banco Central","Uma hipótese legal do Art. 7º ou 11 E um mecanismo válido do Art. 33 — por exemplo, o inciso IX admite a transferência necessária às hipóteses de obrigação legal, contrato e exercício de direitos."
FINANCEIRO,1,"As atividades de tratamento do Financeiro (faturamento, cobrança) devem constar do:",Art. 37,Registro das operações de tratamento (ROPA),Balanço patrimonial | Livro de ponto | Site da ANPD,"Registro das operações de tratamento (ROPA), obrigatório para controlador e operador (Art. 37)."
FINANCEIRO,1,"Um cliente reclama do uso dos seus dados. Quem, na empresa, tem a atribuição legal de aceitar e tratar a reclamação?","Art. 41, § 2º, I",O encarregado,O gerente comercial | O contador | A ANPD,"O encarregado: aceitar reclamações e comunicações dos titulares, prestar esclarecimentos e adotar providências."
MARKETING,1,O consentimento válido para marketing deve ser uma manifestação:,"Art. 5º, XII","Livre, informada e inequívoca","Presumida pela navegação | Genérica, para qualquer finalidade | Permanente e irrevogável","Livre, informada e inequívoca, para finalidade determinada (Art. 5º, XII). O Guia de Cookies da ANPD acrescenta: manifestação clara e positiva, nunca inferida de omissão."
MARKETING,2,Disparar e-mail marketing para uma base de contatos comprada de terceiros:,"Art. 7º, § 5º; Art. 6º, I",Carece de hipótese legal e fere a finalidade informada,É prática recomendada | É permitido se a base for antiga | Não envolve dados pessoais,"Carece de hipótese legal: quem obteve consentimento e quer compartilhar com outro controlador precisa de consentimento específico para isso (Art. 7º, § 5º), e a finalidade deve ter sido informada ao titular (Art. 6º, I)."
MARKETING,2,"Para cookies NÃO necessários (rastreamento, publicidade), o Guia da ANPD aponta como base mais apropriada:","Guia Orientativo Cookies (ANPD, 2022)",O consentimento,A obrigação legal | A proteção do crédito | A tutela da saúde,"O consentimento: 'o recurso ao consentimento será mais apropriado quando a coleta for realizada por cookies não necessários', especialmente os de publicidade."
MARKETING,3,"Para cookies estritamente necessários ao funcionamento do site, o Guia da ANPD orienta que:","Guia Orientativo Cookies (ANPD, 2022); Art. 10",O legítimo interesse pode ser a base; consentimento não é apropriado,Exigem consentimento prévio | São proibidos | Dispensam qualquer base,"O legítimo interesse poderá ser a hipótese apropriada; NÃO é apropriado usar consentimento, pois não há condições para manifestação livre (o site não funciona sem eles)."
MARKETING,2,"Um banner de cookies com um único botão 'Estou de acordo', sem opção de gerenciar ou rejeitar, é:","Guia Orientativo Cookies (ANPD, 2022)",Incompatível com a LGPD,A prática recomendada | Suficiente se houver política de privacidade | Obrigatório,"Incompatível com a LGPD, segundo exemplo do próprio Guia: o primeiro nível deve permitir rejeitar todos os cookies não necessários, com fácil visualização."
MARKETING,2,"Caixas pré-marcadas e a presunção de que 'continuar navegando' é consentir são, para a ANPD:","Guia Orientativo Cookies (ANPD, 2022)",Não recomendáveis: consentimento não pode ser tácito,Válidas se avisadas | Obrigatórias | Indiferentes,Não recomendáveis: o consentimento não pode ser tácito nem obtido por pré-seleção; exige manifestação clara e positiva.
MARKETING,2,"O banner de PRIMEIRO nível, segundo o Guia da ANPD, deve:","Guia Orientativo Cookies (ANPD, 2022)","Ter botão para rejeitar todos os não necessários, bem visível",Destacar apenas o botão 'Aceitar' | Listar cada cookie individualmente | Estar apenas em inglês,"Disponibilizar botão que permita rejeitar todos os cookies não necessários, de fácil visualização, e link para o exercício de direitos; o segundo nível permite consentir por finalidade."
MARKETING,2,A revogação do consentimento de cookies deve ser oferecida:,"Guia Cookies (ANPD); Art. 8º, § 5º","De forma simplificada e gratuita, similar à obtenção",Apenas por carta registrada | Somente ao encarregado | Não precisa ser oferecida,"Por procedimento simplificado e gratuito, similar ao usado para obtê-lo (Guia); a lei garante revogação a qualquer momento, gratuita e facilitada (Art. 8º, § 5º)."
MARKETING,3,"Usar o legítimo interesse para cookies de publicidade que formam perfis de usuários é, para a ANPD:","Guia Orientativo Cookies (ANPD, 2022)",Dificilmente apropriado; consentimento é a base indicada,Sempre adequado | Obrigatório | Indiferente,Dificilmente apropriado — especialmente cookies de terceiros e formação de perfis; o consentimento é a base mais adequada para publicidade.
MARKETING,3,Cookies analíticos de medição de audiência podem se apoiar no legítimo interesse quando:,"Guia Orientativo Cookies (ANPD, 2022)",Os dados são agregados e sem formação de perfis,Servem para anúncios personalizados | Vêm de terceiros | Duram vários anos,"Os dados são agregados, sem combinação com outros rastreadores e sem formação de perfis de usuários."
MARKETING,1,"Cookies 'de terceiros', pelo Guia da ANPD, são os:","Guia Orientativo Cookies (ANPD, 2022)",Criados por domínio diferente do site visitado,Usados por mais de três pessoas | Instalados há mais de três dias | Aprovados pela ANPD,Criados por um domínio diferente daquele que o titular está visitando (por oposição aos próprios/primários).
MARKETING,2,"Sobre a duração dos cookies persistentes, o Guia da ANPD recomenda:","Guia Orientativo Cookies (ANPD, 2022)",Limitar a duração; retenção indeterminada é incompatível,Manter por prazo indefinido | Fixar sempre em 10 anos | Não há orientação,"Limitar a duração no tempo tanto quanto possível; períodos de retenção indeterminados, excessivos ou desproporcionais não são compatíveis com a LGPD."
MARKETING,2,Dados usados para formar o perfil comportamental de uma pessoa identificada:,"Art. 12, § 2º",Podem ser considerados dados pessoais,Nunca são dados pessoais | São dados públicos | Só se incluírem o CPF,"Podem ser considerados dados pessoais para os fins da LGPD (Art. 12, § 2º), mesmo que parte deles pareça anônima."
MARKETING,2,Ofertas decididas unicamente por algoritmo com base no perfil de consumo do cliente dão a ele o direito de:,Art. 20,Solicitar a revisão da decisão,Receber a oferta obrigatoriamente | Nada | Processar o algoritmo,"Solicitar a revisão da decisão, inclusive as destinadas a definir perfil de consumo (Art. 20)."
MARKETING,1,O descadastro (opt-out) de campanhas baseadas em consentimento decorre de qual regra?,"Art. 8º, § 5º","Revogação do consentimento, gratuita e facilitada",Cortesia opcional | Exigência do Procon apenas | Regra do provedor de e-mail,"O consentimento pode ser revogado a qualquer momento, por procedimento gratuito e facilitado (Art. 8º, § 5º)."
MARKETING,3,A empresa quer usar os dados coletados com consentimento para uma finalidade nova e incompatível. Ela deve:,"Art. 9º, § 2º",Informar previamente; o titular pode revogar,Usar sem avisar | Apenas atualizar a política interna | Pedir autorização à ANPD,"Informar previamente o titular sobre a mudança de finalidade, podendo ele revogar o consentimento se discordar (Art. 9º, § 2º)."
MARKETING,2,"Se o consentimento for colhido por escrito em um contrato, ele deve:","Art. 8º, § 1º",Constar de cláusula destacada,Ficar diluído nas condições gerais | Ser verbal | Ser assinado pela ANPD,"Constar de cláusula destacada das demais cláusulas contratuais (Art. 8º, § 1º)."
MARKETING,2,"Condicionar o uso do site ao aceite integral de todos os cookies, sem opções efetivas, é:","Guia Orientativo Cookies (ANPD, 2022)","Consentimento forçado, incompatível com a LGPD",Prática aceita | Obrigatório para segurança | Válido se a política avisar,"Consentimento 'forçado', não compatível com a LGPD segundo o Guia: o titular precisa de possibilidade efetiva de aceitar ou recusar sem consequências negativas."
MARKETING,3,Um aplicativo educativo exibe a crianças publicidade de alimentos ultraprocessados. Pelo Guia da ANPD:,"Guia Legítimo Interesse (ANPD, 2024); Art. 14",Não há legítima expectativa nem melhor interesse: inadmissível por legítimo interesse,É permitido com aviso aos pais | É neutro para a LGPD | É incentivado,Não há legítima expectativa nem melhor interesse da criança — exemplo do próprio Guia de tratamento que não pode se apoiar no legítimo interesse.
MARKETING,2,"Coletar dados de crianças em uma promoção exige, pela regra do Art. 14:","Art. 14, §§ 1º e 4º","Consentimento de um dos pais ou responsável, sem exigir dados além do necessário",Só o consentimento da própria criança | Nenhuma exigência | Autorização escolar,"Consentimento específico e em destaque de pelo menos um dos pais ou do responsável legal (§ 1º), sem condicionar a participação ao fornecimento de dados além dos estritamente necessários (§ 4º)."
MARKETING,3,Dados tornados manifestamente públicos pelo titular (ex.: perfil aberto) podem ser tratados:,"Art. 7º, § 4º","Sem consentimento, mas respeitando direitos e princípios","Livremente, sem limites | Nunca | Só com ordem judicial","Com dispensa do consentimento, resguardados os direitos do titular e os princípios da lei (Art. 7º, § 4º) — não é 'terra de ninguém'."
MARKETING,3,"Ao avaliar se um tratamento por legítimo interesse está dentro da 'legítima expectativa' do titular, a ANPD considera:","Guia Legítimo Interesse (ANPD, 2024)","Relação prévia, fonte da coleta, contexto e compatibilidade da finalidade",Apenas o lucro esperado | A opinião do gerente de marketing | O tamanho da empresa,"A relação prévia com o titular, a fonte e a forma da coleta, o contexto e o período, e a compatibilidade da finalidade — o tratamento deve ser razoavelmente o esperado pelo titular naquele contexto."
MARKETING,3,"Divulgar aos alunos a campanha de uma escola de idiomas parceira (interesse de terceiro) é possível, pelo Guia da ANPD, se:","Guia Legítimo Interesse (ANPD, 2024); Art. 7º, IX",Houver teste de balanceamento e opção de descadastro,"Nunca | Sempre, sem formalidade | Só com consentimento notarial","Houver teste de balanceamento e mecanismo de descadastramento — exemplo do Guia de legítimo interesse de terceiro, que exige ônus argumentativo adicional."
MARKETING,2,"Enviar promoções dos próprios produtos a clientes atuais, com opção de descadastro, pode se apoiar em:","Art. 10, I e II; Guia Legítimo Interesse (ANPD, 2024)","Legítimo interesse, com salvaguardas e descadastro",Tutela da saúde | Proteção do crédito | Políticas públicas,"Legítimo interesse: apoio e promoção das atividades do controlador (Art. 10, I), respeitadas as legítimas expectativas e com salvaguardas como o descadastramento (exemplo do Guia)."
MARKETING,2,O titular pode se opor a um tratamento feito com base em hipótese de dispensa de consentimento?,"Art. 18, § 2º","Sim, em caso de descumprimento da lei, e pode peticionar à ANPD","Não, nunca | Só se tiver consentido antes | Só judicialmente","Sim, em caso de descumprimento da lei (Art. 18, § 2º). O Guia da ANPD acrescenta que, se a oposição não for atendida, o titular pode peticionar contra o controlador perante a ANPD."
MARKETING,2,Entre as informações que devem estar acessíveis ao titular (Art. 9º) estão:,Art. 9º,"Finalidade, duração, identificação e contato do controlador, compartilhamento e direitos",Apenas o nome do site | O faturamento da campanha | A lista de clientes,"Finalidade específica, forma e duração do tratamento, identificação e contato do controlador, uso compartilhado e sua finalidade, responsabilidades dos agentes e os direitos do titular."
MARKETING,1,"A política de cookies deve informar, segundo o Guia da ANPD:","Guia Orientativo Cookies (ANPD, 2022); Art. 9º","Finalidades, retenção e compartilhamento com terceiros","Apenas o nome da agência | O código dos cookies | Nada, é opcional","As finalidades específicas, o período de retenção e se há compartilhamento com terceiros, entre outros aspectos do Art. 9º — e pode ficar no aviso de privacidade, em página própria ou no banner."
MARKETING,2,"Qual a diferença entre política de privacidade e aviso de privacidade, pelo Guia do Encarregado da ANPD?","Guia Atuação do Encarregado (ANPD, 2024)",Política é interna; aviso é o documento público ao titular,São sinônimos | Aviso é interno; política é pública | Nenhum é necessário,"A política de privacidade é documento interno de governança; o aviso de privacidade é o documento público, voltado ao titular."
MARKETING,3,Usar uma ferramenta de e-mail marketing hospedada na União Europeia envolve transferência internacional. Ela é permitida porque:,"Art. 33, I; Res. CD/ANPD nº 32/2026; Res. nº 19/2024, art. 9º","Há decisão de adequação da UE, além da base legal do Art. 7º",Não é permitida | Basta o contrato com o fornecedor | Não é transferência internacional,"A ANPD reconheceu a União Europeia e o EEE como adequados (Res. nº 32/2026), mecanismo do Art. 33, I — mas ainda é preciso uma hipótese legal do Art. 7º ou 11 (Res. 19/2024, art. 9º)."
MARKETING,2,Vazou uma lista de e-mails de uma promoção infantil. Isso é incidente com risco relevante?,"Res. CD/ANPD nº 15/2024, art. 5º, II",Sim: dados de crianças são critério de risco relevante,"Não, e-mail não é dado pessoal | Só se houver senha junto | Só se a ANPD perguntar","Dados de crianças, adolescentes ou idosos são critério de risco ou dano relevante (art. 5º, II) quando o incidente puder afetar significativamente direitos dos titulares — avaliar, registrar e comunicar em 3 dias úteis."
TI,1,O Art. 46 da LGPD exige dos agentes de tratamento:,Art. 46,Medidas técnicas e administrativas de segurança,Apenas um antivírus | Somente política escrita | Certificação ISO obrigatória,"Medidas de segurança, técnicas e administrativas, aptas a proteger os dados de acessos não autorizados e de situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou difusão."
TI,1,O provedor de nuvem que armazena dados em nome da empresa é:,"Art. 5º, VII",Operador,Controlador | Titular | Encarregado,"Operador: realiza o tratamento em nome do controlador (Art. 5º, VII) e deve seguir suas instruções (Art. 39)."
TI,3,"A empresa de nuvem contratada pelo OPERADOR (não pelo controlador) para ajudá-lo é, pelo Guia da ANPD:","Guia Orientativo Agentes de Tratamento (ANPD, v2.0, 2022)","Suboperadora, equiparável ao operador nas suas atividades",Controladora conjunta | Titular | Fora do alcance da LGPD,"Suboperadora: contratada pelo operador para auxiliá-lo, com relação direta com o operador; pode ser equiparada ao operador nas atividades que executa. Recomenda-se autorização do controlador."
TI,1,Conceder a cada usuário apenas os acessos necessários à sua função é o princípio de:,"Guia Segurança da Informação (ANPD, 2021)",Menor privilégio (need to know),Acesso total | Livre acesso público | Portabilidade,"Menor privilégio (need to know): permissões na proporção da necessidade, com autenticação, autorização e auditoria."
TI,1,"Sobre autenticação, o Guia de Segurança da ANPD recomenda:","Guia Segurança da Informação (ANPD, 2021)","Autenticação multifator e senhas fortes, sem contas compartilhadas",Senha única para a equipe | Senha padrão do fornecedor | Acesso sem senha,"Preferencialmente autenticação multifator (MFA), senhas complexas, sem compartilhar contas e sem manter senhas padrão de fornecedores."
TI,2,"Logs de acesso são importantes, à luz da Resolução CD/ANPD nº 15/2024, para:","Res. CD/ANPD nº 15/2024, art. 10; Art. 48","Investigar, registrar e comunicar incidentes",Ocupar espaço em disco | Marketing | Nada relevante,"Apurar e registrar incidentes: o controlador deve manter registro do incidente com circunstâncias, dados afetados, avaliação de risco e medidas — e responder à ANPD com a causa principal."
TI,2,O Guia de Segurança da ANPD cita a criptografia como exemplo de técnica de:,"Guia Segurança (ANPD, 2021); Art. 13, § 4º",Pseudonimização dos dados armazenados,Anonimização irreversível | Eliminação | Portabilidade,"Pseudonimização de dados armazenados, recomendada especialmente para dados sensíveis."
TI,2,"Backups com dados pessoais devem, segundo a ANPD:","Guia Segurança da Informação (ANPD, 2021)",Ficar em local distinto e não sincronizados em tempo real,Ficar no mesmo servidor | Ser feitos uma vez por ano | Ser públicos,"Ser regulares e completos, guardados em locais seguros e distintos dos dispositivos principais, e não sincronizados online em tempo real (contra ransomware)."
TI,1,"Manter sistemas atualizados com as correções (patches) dos fornecedores é, para a ANPD:","Guia Segurança (ANPD, 2021)",Medida técnica contra vulnerabilidades,Opcional | Risco desnecessário | Só para servidores,"Medida técnica contra vulnerabilidades, ao lado de antivírus atualizado com varreduras periódicas."
TI,2,"Sobre o antivírus nas estações, o Guia da ANPD recomenda que:","Guia Segurança (ANPD, 2021)",Não possa ser desativado pelos usuários,Seja opcional | Fique desligado para desempenho | Rode só na sexta,"Esteja atualizado, com varreduras periódicas e sem possibilidade de desativação pelos usuários."
TI,2,"O que é 'incidente de segurança', pela Resolução CD/ANPD nº 15/2024?","Res. CD/ANPD nº 15/2024, art. 3º, XII","Evento adverso confirmado que viola confidencialidade, integridade, disponibilidade ou autenticidade",Qualquer erro de sistema | Só ataque hacker externo | Só perda física de papel,"Qualquer evento adverso confirmado, relacionado à violação das propriedades de confidencialidade, integridade, disponibilidade e autenticidade da segurança de dados pessoais."
TI,3,A mera existência de uma vulnerabilidade em um sistema é um incidente de segurança?,Página CIS da ANPD (gov.br/anpd),Não: vulnerabilidade não é incidente; incidente é evento confirmado,"Sim, sempre | Sim, se for crítica | Sim, se a ANPD souber","Não. Segundo a ANPD, a mera existência de vulnerabilidade não constitui incidente — incidente é evento adverso confirmado."
TI,3,Um incidente que envolveu somente dados anonimizados precisa ser comunicado à ANPD?,Página CIS da ANPD; Art. 12,Não,"Sim, sempre | Sim, em 3 dias úteis | Sim, ao Procon",Não: incidentes que envolvam somente dados anonimizados ou não relacionados a pessoas identificáveis não precisam ser comunicados (orientação oficial da ANPD).
TI,2,O prazo de 3 dias úteis para comunicar o incidente à ANPD conta a partir de:,"Res. CD/ANPD nº 15/2024, art. 6º, § 1º",Do conhecimento de que o incidente afetou dados pessoais,Da data do ataque | Do boletim de ocorrência | Do fim da investigação,"Do conhecimento pelo controlador de que o incidente afetou dados pessoais (art. 6º, § 1º); em dobro para agentes de pequeno porte (§ 8º)."
TI,2,O operador detecta um incidente nos dados que trata para o controlador. Ele deve:,Página CIS da ANPD; Art. 48,Informar o controlador sem demora; a comunicação à ANPD é do controlador,Comunicar a ANPD por conta própria e não avisar o controlador | Esperar o controlador descobrir | Apagar os logs,Informar o fato ao controlador sem demora injustificada e fornecer as informações — a comunicação à ANPD e aos titulares é obrigação do controlador (Art. 48).
TI,3,"A comunicação de incidente à ANPD deve conter, entre outros:","Res. CD/ANPD nº 15/2024, art. 6º, § 2º","Dados afetados, número de titulares, medidas, riscos, datas e causa principal",Apenas o nome da empresa | A lista completa dos titulares | O código-fonte do sistema,"A natureza e categoria dos dados; o número de titulares (discriminando crianças, adolescentes e idosos); as medidas antes e depois; os riscos; as datas do incidente e do conhecimento; a causa principal; os dados do encarregado."
TI,3,"Por quanto tempo o controlador deve manter o registro de um incidente, inclusive dos não comunicados?","Res. CD/ANPD nº 15/2024, art. 10",No mínimo 5 anos,6 meses | Até o fim do ano | Não precisa registrar,"Pelo prazo mínimo de cinco anos, contado da data do registro, com data de conhecimento, circunstâncias, dados, número de titulares, avaliação de risco, medidas e motivos de eventual não comunicação."
TI,3,"Se for inviável comunicar cada titular afetado individualmente, a Resolução nº 15/2024 admite:","Res. CD/ANPD nº 15/2024, art. 9º, § 3º","Divulgação pública por, no mínimo, três meses",Não comunicar | Comunicar só a ANPD | Anúncio de um dia no jornal,"Divulgação em sítio eletrônico, aplicativos, mídias sociais e canais de atendimento, por no mínimo três meses."
TI,2,Vazamento de logins e senhas (dados de autenticação) é critério de 'risco ou dano relevante'?,"Res. CD/ANPD nº 15/2024, art. 5º, IV","Sim, é critério expresso da Resolução","Não, senha não é dado pessoal | Só se forem senhas de administrador | Só se houver mais de mil","Sim: dados de autenticação em sistemas são um dos critérios (art. 5º, IV), ao lado de sensíveis, de crianças/adolescentes/idosos, financeiros, sob sigilo e em larga escala."
TI,3,Como a ANPD define 'larga escala' para fins de incidente?,"Res. CD/ANPD nº 15/2024, art. 5º, § 2º","Número significativo de titulares, considerando volume, duração, frequência e extensão geográfica","Mais de 1 milhão de registros, fixo | Qualquer banco de dados | Só bancos de dados públicos","Número significativo de titulares, considerando ainda o volume de dados, a duração, a frequência e a extensão geográfica da localização dos titulares."
TI,2,A obrigação de garantir a segurança da informação vale mesmo após o término do tratamento?,Art. 47,"Sim, mesmo após o término","Não, só durante | Só para dados sensíveis | Só se houver contrato",Sim: os agentes e qualquer pessoa que intervenha no tratamento obrigam-se a garantir a segurança mesmo após o seu término (Art. 47).
TI,2,Os sistemas usados para tratar dados pessoais devem ser estruturados para:,Art. 49,"Atender a requisitos de segurança, boas práticas e princípios da lei",Maximizar a coleta de dados | Evitar logs | Ignorar a governança,"Atender aos requisitos de segurança, aos padrões de boas práticas e de governança e aos princípios gerais da lei (Art. 49)."
TI,2,"'Privacidade por padrão', pelo Guia do Encarregado da ANPD, significa que as configurações protetivas:","Guia Atuação do Encarregado (ANPD, 2024); Art. 46, § 2º","Vêm ativadas automaticamente, sem ação do usuário",Devem ser ativadas pelo usuário | São opcionais | Só existem em produtos pagos,"São acionadas automaticamente por padrão, sem intervenção do usuário; e as medidas de segurança devem existir desde a concepção do produto (Art. 46, § 2º)."
TI,2,"Uso de celulares pessoais para fins institucionais, segundo o Guia de Segurança da ANPD:","Guia Segurança (ANPD, 2021)","Não recomendado sem medidas equivalentes (MFA, apagamento remoto)",Livremente permitido | Obrigatório | Proibido pela lei,"Não é recomendado sem medidas equivalentes às dos dispositivos institucionais; recomenda-se MFA, separação de dados e possibilidade de apagamento remoto."
TI,2,"Ao contratar serviço de nuvem, o Guia da ANPD recomenda:","Guia Segurança (ANPD, 2021)",SLA que contemple a segurança dos dados e MFA no acesso,Só o menor preço | Sem contrato | Senha compartilhada pela equipe,Contrato com acordo de nível de serviço (SLA) contemplando a segurança dos dados armazenados e MFA para o acesso.
TI,3,"Ao usar as cláusulas-padrão da ANPD para transferir dados a um provedor no exterior, a empresa deve:","Res. CD/ANPD nº 19/2024, art. 16","Adotá-las integralmente, sem alterar o texto",Adaptá-las livremente | Traduzi-las para o inglês apenas | Substituí-las pelo contrato do fornecedor,"Adotá-las integralmente e sem alteração do texto do Anexo II; outras cláusulas do contrato não podem excluir, modificar ou contrariar as cláusulas-padrão."
